kpi,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.39,11.73,16.72,25.93,47.97,122.73,633.73
return_on_capital_employed_pct,6.67,9.99,16.5,26.62,39.89,22.39,23.37
operating_profit_margin_pct,10.14,17.07,26.0,39.35,84.0,35.01,26.91
net_profit_margin_pct,4.62,7.25,14.13,20.35,29.24,20.0,45.19
debt_to_equity,0.01,0.06,0.43,1.57,6.45,1.65,2.85
price_to_earnings,19.83,22.27,25.65,32.04,36.36,27.04,5.97
price_to_book,2.85,3.17,4.62,5.59,5.99,4.51,1.22
revenue_cagr_5yr,6.48,8.46,12.03,17.15,21.08,12.98,7.31
net_profit_cagr_5yr,3.43,9.34,16.28,23.41,35.58,19.26,20.4
fcf_cagr_5yr,-20.0,-3.0,1.56,10.58,24.09,4.51,16.37
