company_id,metric_type,period_years,value_pct
ABB,compounded_sales_growth,10,8.5
ABB,compounded_sales_growth,5,9.7
ABB,compounded_sales_growth,3,11.8
ABB,compounded_profit_growth,10,12.2
ABB,compounded_profit_growth,5,14.0
ABB,compounded_profit_growth,3,16.5
ABB,stock_price_cagr,10,15.4
ABB,stock_price_cagr,5,17.8
ABB,stock_price_cagr,3,14.2
ABB,stock_price_cagr,1,21.0
ABB,roe,10,31.5
ABB,roe,5,32.5
ABB,roe,3,34.0
ADANIENSOL,compounded_sales_growth,10,16.7
ADANIENSOL,compounded_sales_growth,5,17.9
ADANIENSOL,compounded_sales_growth,3,20.0
ADANIENSOL,compounded_profit_growth,10,12.2
ADANIENSOL,compounded_profit_growth,5,14.0
ADANIENSOL,compounded_profit_growth,3,16.5
ADANIENSOL,stock_price_cagr,10,15.4
ADANIENSOL,stock_price_cagr,5,17.8
ADANIENSOL,stock_price_cagr,3,14.2
ADANIENSOL,stock_price_cagr,1,21.0
ADANIENSOL,roe,10,8.5
ADANIENSOL,roe,5,9.5
ADANIENSOL,roe,3,11.0
ADANIENT,compounded_sales_growth,10,17.8
ADANIENT,compounded_sales_growth,5,19.0
ADANIENT,compounded_sales_growth,3,21.1
ADANIENT,compounded_profit_growth,10,12.2
ADANIENT,compounded_profit_growth,5,14.0
ADANIENT,compounded_profit_growth,3,16.5
ADANIENT,stock_price_cagr,10,15.4
ADANIENT,stock_price_cagr,5,17.8
ADANIENT,stock_price_cagr,3,14.2
ADANIENT,stock_price_cagr,1,21.0
ADANIENT,roe,10,7.5
ADANIENT,roe,5,8.5
ADANIENT,roe,3,10.0
ADANIGREEN,compounded_sales_growth,10,33.8
ADANIGREEN,compounded_sales_growth,5,35.0
ADANIGREEN,compounded_sales_growth,3,37.1
ADANIGREEN,compounded_profit_growth,10,12.2
ADANIGREEN,compounded_profit_growth,5,14.0
ADANIGREEN,compounded_profit_growth,3,16.5
ADANIGREEN,stock_price_cagr,10,15.4
ADANIGREEN,stock_price_cagr,5,17.8
ADANIGREEN,stock_price_cagr,3,14.2
ADANIGREEN,stock_price_cagr,1,21.0
ADANIGREEN,roe,10,11.8
ADANIGREEN,roe,5,12.8
ADANIGREEN,roe,3,14.3
ADANIPORTS,compounded_sales_growth,10,18.4
ADANIPORTS,compounded_sales_growth,5,19.6
ADANIPORTS,compounded_sales_growth,3,21.7
