table_name,row_count,unique_tickers,status,timestamp
companies,92,92,SUCCESS,2026-08-20T07:17:04.193894
profitandloss,1070,92,SUCCESS,2026-08-20T07:17:04.194233
balancesheet,1140,91,SUCCESS,2026-08-20T07:17:04.196674
cashflow,1063,92,SUCCESS,2026-08-20T07:17:04.196957
analysis,4,4,SUCCESS,2026-08-20T07:17:04.197055
documents,1456,91,SUCCESS,2026-08-20T07:17:04.197326
prosandcons,14,4,SUCCESS,2026-08-20T07:17:04.197475
sectors,92,92,SUCCESS,2026-08-20T07:17:04.197615
stock_prices,5520,92,SUCCESS,2026-08-20T07:17:04.203551
market_cap,552,92,SUCCESS,2026-08-20T07:17:04.203897
