company_id,company_name,sector,P/E,P/B,EV/EBITDA,FCF_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
BHARTIARTL,Bharti Airtel Ltd,Communication Services,93.11,4.22,13.12,12.38,150.0,55.91,Caution
NAUKRI,Info Edge (India) Ltd,Communication Services,26.34,0.49,13.13,-0.06,27.6,-55.89,Discount
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,2.39,0.63,13.12,2.01,5.0,-88.8,Discount
BOSCHLTD,Bosch Ltd,Consumer Discretionary,1.62,0.34,13.12,0.1,5.0,-92.41,Discount
DMART,Avenue Supermarts Ltd,Consumer Discretionary,54.3,7.37,13.12,0.02,150.0,154.45,Caution
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,12.02,0.51,13.12,0.32,14.32,-43.67,Discount
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,182.33,12.64,13.12,0.05,150.0,754.4,Caution
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,10.89,0.83,13.12,-0.66,28.06,-48.97,Discount
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,6.27,0.49,13.12,0.34,14.54,-70.62,Discount
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,176.37,1.83,13.13,1.48,150.0,726.48,Caution
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,11.22,0.95,13.12,4.31,28.24,-47.42,Discount
TITAN,"Titan Company Ltd
",Consumer Discretionary,113.49,4.19,13.13,0.13,150.0,431.82,Caution
TRENT,Trent Ltd,Consumer Discretionary,57.22,2.13,13.12,0.12,150.0,168.13,Caution
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,92.44,2.35,13.12,-1.58,150.0,333.18,Caution
BRITANNIA,Britannia Industries Ltd,Consumer Staples,20.11,1.09,13.12,1.57,39.95,-79.34,Discount
DABUR,Dabur India Ltd,Consumer Staples,181.0,3.25,13.12,1.89,150.0,85.98,Caution
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,1.0,3.25,13.12,-0.17,150.0,-98.97,Discount
ITC,"ITC Ltd
",Consumer Staples,186.76,5.01,13.12,8.69,150.0,91.9,Caution
NESTLEIND,Nestle India Ltd,Consumer Staples,55.32,6.52,13.12,0.25,123.4,-43.16,Discount
ADANIENSOL,Adani Energy Solutions Ltd,Energy,250.0,23.4,13.12,0.64,150.0,86.3,Caution
ADANIGREEN,Adani Green Energy Ltd,Energy,250.0,44.9,13.12,-2.75,150.0,86.3,Caution
ADANIPOWER,Adani Power Ltd,Energy,72.52,35.01,13.12,1.49,150.0,-45.96,Discount
ATGL,Adani Total Gas Ltd,Energy,250.0,4.69,13.13,0.02,150.0,86.3,Caution
BPCL,Bharat Petroleum Corporation Ltd,Energy,56.42,9.88,13.12,6.09,150.0,-57.96,Discount
GAIL,GAIL (India) Ltd,Energy,49.85,6.39,13.12,0.66,94.95,-62.85,Discount
IOC,"Indian Oil Corporation
",Energy,19.69,4.44,13.12,3.53,49.23,-85.33,Discount
